,loc_id,latitude,longitude,subnational1_code,entry_technique,sub_id,obs_id,month,day,year,proj_period_id,species_code,how_many,valid,reviewed,day1_am,day1_pm,day2_am,day2_pm,effort_hrs_atleast,snow_dep_atleast,data_entry_method
520,L12617638,44.8541721,-76.2369995,CA-ON,/GOOGLE_MAP/ZOOM:15,S79749032,OBS1057713231,1,23,2021,PFW_2021,blujay,6,1,0,1,1,1,1,4.001,15.001,PFW Mobile App v1.1.17
538,L12922560,42.8769571,-74.3339531,US-NY,/GOOGLE_MAP/ZOOM:15,S82101439,OBS1079792543,2,20,2021,PFW_2021,blujay,8,1,0,1,1,1,1,1.001,15.001,PFW Web 4.1.4
568,L4014935,42.9507687,-82.002039,CA-ON,/GOOGLE_MAP/ZOOM:15,S83550678,OBS1096717740,3,17,2021,PFW_2021,blujay,2,1,0,1,1,1,1,1.001,0.0,PFW Mobile App v1.1.17
593,L10422614,53.5610904,-113.93908,CA-AB,/GOOGLE_MAP/ZOOM:15,S77700916,OBS1031861679,12,15,2020,PFW_2021,blujay,3,1,0,1,1,1,1,1.001,5.0,PFW Web 4.1.4
629,L40633,42.697411,-73.6367221,US-NY,POSTCODE LAT/LONG LOOKUP,S89376917,OBS1172359529,4,7,2021,PFW_2021,blujay,2,1,0,1,0,0,1,1.001,0.0,PFW Web 4.1.4
635,L21813,44.7659931,-92.8143454,US-MN,POSTCODE LAT/LONG LOOKUP,S85091681,OBS1115464320,2,9,2021,PFW_2021,blujay,4,1,0,1,1,1,1,4.001,15.001,PFW Web 4.1.4
639,L29135,33.58163,-92.84054,US-AR,POSTCODE LAT/LONG LOOKUP,S85089991,OBS1115457232,4,6,2021,PFW_2021,blujay,2,1,0,1,1,1,1,4.001,0.0,PFW Web 4.1.4
640,L2420106,38.855908,-77.203646,US-VA,/GOOGLE_MAP/ZOOM:15,S81533228,OBS1074634544,2,2,2021,PFW_2021,blujay,2,1,0,1,1,1,1,1.001,5.0,PFW Web 4.1.4
645,L12723349,45.0201861,-73.0894876,CA-QC,/GOOGLE_MAP/ZOOM:17,S83418993,OBS1095074278,3,13,2021,PFW_2021,blujay,7,1,0,1,1,1,1,1.001,0.0,PFW Web 4.1.4
649,L12688012,43.0416264,-72.6300079,US-VT,/GOOGLE_MAP/ZOOM:15,S79311662,OBS1053946407,1,16,2021,PFW_2021,blujay,9,1,0,1,1,1,1,1.001,15.001,PFW Mobile App v1.1.17
664,L12787493,42.2019794,-70.9645112,US-MA,/GOOGLE_MAP/ZOOM:15,S83234956,OBS1093058269,3,12,2021,PFW_2021,blujay,1,1,0,1,1,1,1,1.001,0.0,PFW Mobile App v1.1.17
711,L283399,41.7176421,-71.4615154,US-RI,ESRI_WEBSERVICE_STREET,S79064548,OBS1049445809,1,11,2021,PFW_2021,blujay,6,1,0,1,0,1,1,1.001,,PFW Mobile App v1.1.17
718,L40189,42.132362,-76.6527629,US-NY,POSTCODE LAT/LONG LOOKUP,S82335858,OBS1082560447,2,22,2021,PFW_2021,blujay,5,1,0,1,1,1,1,4.001,15.001,PFW Web 4.1.4
728,L133020,40.0626361,-87.920022,US-IL,PointMaker1.0_2,S80681437,OBS1068829356,2,7,2021,PFW_2021,blujay,9,1,0,1,1,1,1,4.001,0.001,PFW Web 4.1.4
749,L3533073,47.182076,-93.454491,US-MN,/GOOGLE_MAP/ZOOM:15,S76774345,OBS1018917040,11,21,2020,PFW_2021,blujay,4,1,0,1,1,1,1,1.001,5.0,PFW Web 4.1.4
755,L361013,43.3261455,-73.6333108,US-NY,GREATDATA_POSTCODE/GOOGLE_MAP/ZOOM:3,S85262228,OBS1117635527,2,20,2021,PFW_2021,blujay,1,1,0,1,1,1,1,1.001,5.0,PFW Web 4.1.4
760,L12723122,42.3380229,-71.112662,US-MA,/GOOGLE_MAP/ZOOM:15,S83419823,OBS1095074342,3,13,2021,PFW_2021,blujay,1,1,0,1,1,1,1,4.001,0.0,PFW Web 4.1.4
764,L12728931,41.0935793,-85.2373196,US-IN,/GOOGLE_MAP/ZOOM:15,S80111177,OBS1062260450,1,30,2021,PFW_2021,blujay,2,1,0,1,1,0,1,4.001,5.0,PFW Mobile App v1.1.17
837,L6475935,34.0543502,-81.135634,US-SC,/GOOGLE_MAP/ZOOM:15,S86427407,OBS1132895283,4,25,2021,PFW_2021,blujay,2,1,0,0,0,0,0,,,PFW Mobile App v1.1.17
871,L4409581,38.8548547,-90.2962366,US-MO,/GOOGLE_MAP/ZOOM:18,S78568085,OBS1043482720,11,14,2020,PFW_2021,blujay,1,1,0,1,1,1,1,1.001,0.0,PFW Web 4.1.4
873,L6490962,38.3346967,-77.6339704,US-VA,/GOOGLE_MAP/ZOOM:18,S79179280,OBS1050757415,1,9,2021,PFW_2021,blujay,3,1,0,1,1,1,1,1.001,0.0,PFW Web 4.1.4
885,L3495367,46.9550152,-94.5912552,US-MN,/GOOGLE_MAP/ZOOM:15,S82725862,OBS1087137690,3,2,2021,PFW_2021,blujay,6,1,0,1,1,1,1,4.001,0.001,PFW Web 4.1.4
907,L6468988,39.0322377,-104.7850392,US-CO,/GOOGLE_MAP/ZOOM:15,S81826193,OBS1076872062,2,13,2021,PFW_2021,blujay,2,1,0,1,1,1,1,4.001,,PFW Web 4.1.4
911,L1024833,43.0642357,-77.4367599,US-NY,ESRI_WEBSERVICE_STREET,S84960166,OBS1113980644,3,6,2021,PFW_2021,blujay,2,1,0,1,1,1,1,4.001,,PFW Web 4.1.4
950,L8214068,41.3420586,-81.8758671,US-OH,/GOOGLE_MAP/ZOOM:15,S76790231,OBS1019182304,11,23,2020,PFW_2021,blujay,1,1,0,0,1,0,1,1.001,0.0,PFW Web 4.1.4
954,L3257179,37.257084,-79.975568,US-VA,/GOOGLE_MAP/ZOOM:15,S78940842,OBS1047787263,12,19,2020,PFW_2021,blujay,1,1,0,1,1,1,1,1.001,0.0,PFW Web 4.1.4
971,L4084267,40.7444879,-73.041151,US-NY,/GOOGLE_MAP/ZOOM:15,S78173556,OBS1038310186,12,27,2020,PFW_2021,blujay,4,1,0,1,0,1,0,0.001,0.0,PFW Web 4.1.4
997,L13064106,40.9567548,-81.4837419,US-OH,/GOOGLE_MAP/ZOOM:18,S78771706,OBS1045658701,1,4,2021,PFW_2021,blujay,1,1,0,1,1,1,1,4.001,0.0,PFW Web 4.1.4
1022,L8139905,42.9534968,-81.1998309,CA-ON,/GOOGLE_MAP/ZOOM:15,S78925926,OBS1047629747,12,31,2020,PFW_2021,blujay,1,1,0,1,1,1,1,8.001,,PFW Web 4.1.4
1029,L280266,38.2814815,-90.3985441,US-MO,STATE/GOOGLE_MAP/ZOOM:1,S86380862,OBS1132224455,4,24,2021,PFW_2021,blujay,1,1,0,1,1,1,1,0.001,,PFW Web 4.1.4
1062,L1336784,44.4027138,-73.0649796,US-VT,ESRI_WEBSERVICE_STREET,S79602223,OBS1055938852,1,18,2021,PFW_2021,blujay,4,1,0,1,1,1,1,1.001,5.0,PFW Web 4.1.4
1066,L12716118,45.0495619,-79.0919656,CA-ON,/GOOGLE_MAP/ZOOM:15,S83795453,OBS1099684861,3,21,2021,PFW_2021,blujay,8,1,0,1,0,1,0,1.001,5.0,PFW Mobile App v1.1.17
1099,L13506891,32.7416382,-95.2899066,US-TX,/GOOGLE_MAP/ZOOM:12,S83575083,OBS1096992858,3,15,2021,PFW_2021,blujay,4,1,0,1,1,1,1,8.001,,PFW Web 4.1.4
1193,L8198728,38.8818962,-77.1817888,US-VA,/GOOGLE_MAP/ZOOM:15,S79443558,OBS1053903630,1,3,2021,PFW_2021,blujay,1,1,0,1,1,1,1,1.001,0.0,PFW Web 4.1.4
1223,L78156,40.3866316,-80.6465355,US-OH,postal_code,S81701020,OBS1075673743,2,13,2021,PFW_2021,blujay,2,1,0,1,1,1,1,1.001,5.0,PFW Web 4.1.4
1261,L597354,45.76271,-66.1407178,CA-NB,POSTCODE LAT/LONG LOOKUP,S78195563,OBS1038650212,12,25,2020,PFW_2021,blujay,8,1,0,1,0,1,0,1.001,,PFW Web 4.1.4
1305,L1018943,42.4986198,-71.32137,US-MA,ESRI_WEBSERVICE_STREET/GOOGLE_MAP/ZOOM:2,S78253139,OBS1039420397,12,28,2020,PFW_2021,blujay,2,1,0,1,1,1,1,1.001,0.0,PFW Web 4.1.4
1344,L161992,39.2201588,-85.8549957,US-IN,POSTCODE LAT/LONG LOOKUP,S77327885,OBS1026717932,12,8,2020,PFW_2021,blujay,3,1,0,0,1,1,1,1.001,0.0,PFW Web 4.1.4
1356,L499315,42.2923738,-85.6086874,US-MI,GREATDATA_POSTCODE/GOOGLE_MAP/ZOOM:0,S76542446,OBS1015722723,11,19,2020,PFW_2021,blujay,2,1,0,1,1,1,1,1.001,,PFW Web 4.1.4
1386,L6473932,39.0837197,-77.5493061,US-VA,/GOOGLE_MAP/ZOOM:15,S83874027,OBS1100603202,3,20,2021,PFW_2021,blujay,1,1,0,1,1,1,1,1.001,0.0,PFW Web 4.1.4
1412,L12840016,40.7707786,-73.0111091,US-NY,/GOOGLE_MAP/ZOOM:18,S82560169,OBS1085154527,2,28,2021,PFW_2021,blujay,1,1,0,1,0,1,0,0.001,0.0,PFW Mobile App v1.1.17
1443,L2060227,41.052803,-85.2403946,US-IN,,S89214801,OBS1170347741,4,6,2021,PFW_2021,blujay,2,1,0,1,0,0,1,1.001,0.0,PFW Web 4.1.4
1473,L4147080,42.447448,-76.5192749,US-NY,/GOOGLE_MAP/ZOOM:15,S78285439,OBS1039795726,12,27,2020,PFW_2021,blujay,1,1,0,1,0,1,0,0.001,0.001,PFW Web 4.1.4
1488,L2411729,40.5561348,-77.4112988,US-PA,/GOOGLE_MAP/ZOOM:15,S83869851,OBS1100552126,3,9,2021,PFW_2021,blujay,3,1,0,1,1,1,1,4.001,0.0,PFW Web 4.1.4
1505,L12721178,43.0422022,-81.2589437,CA-ON,/GOOGLE_MAP/ZOOM:18,S82310994,OBS1082875444,2,25,2021,PFW_2021,blujay,1,1,0,1,1,1,1,4.001,5.0,PFW Web 4.1.4
1516,L12716089,54.363073,-113.994013,CA-AB,/GOOGLE_MAP/ZOOM:15,S79859749,OBS1059002805,1,23,2021,PFW_2021,blujay,2,1,0,1,1,1,0,1.001,5.0,PFW Web 4.1.4
1537,L10180297,44.5245365,-63.770682,CA-NS,/GOOGLE_MAP/ZOOM:12,S77167134,OBS1024365915,12,6,2020,PFW_2021,blujay,1,1,0,0,1,0,0,4.001,,PFW Web 4.1.4
1541,L5212688,40.3977121,-82.4269974,US-OH,/GOOGLE_MAP/ZOOM:15,S80465902,OBS1066365773,1,26,2021,PFW_2021,blujay,5,1,0,1,1,1,1,1.001,0.001,PFW Web 4.1.4
1651,L12723142,34.8139197,-92.2581888,US-AR,/GOOGLE_MAP/ZOOM:15,S85068180,OBS1115160186,4,3,2021,PFW_2021,blujay,6,1,0,1,1,0,1,1.001,,PFW Web 4.1.4
1695,L12745339,44.7648175,-93.3013435,US-MN,/GOOGLE_MAP/ZOOM:12,S76339644,OBS1012950690,11,14,2020,PFW_2021,blujay,1,1,0,0,1,0,1,1.001,0.001,PFW Web 4.0.4
1696,L12588992,42.1052651,-71.6534369,US-MA,/GOOGLE_MAP/ZOOM:17,S79489439,OBS1054503198,1,11,2021,PFW_2021,blujay,4,1,0,1,1,1,1,8.001,0.0,PFW Web 4.1.4
1709,L12841962,35.5900851,-97.5220057,US-OK,/GOOGLE_MAP/ZOOM:19,S86621787,OBS1135465681,4,24,2021,PFW_2021,blujay,1,1,0,1,0,1,1,0.001,,PFW Web 4.1.4
1749,L277586,40.234525,-75.947153,US-PA,ESRI_WEBSERVICE_STREET,S81942129,OBS1078121881,12,19,2020,PFW_2021,blujay,1,1,0,1,1,1,1,8.001,15.001,PFW Web 4.1.4
1761,L1336784,44.4027138,-73.0649796,US-VT,ESRI_WEBSERVICE_STREET,S84446525,OBS1107815614,3,29,2021,PFW_2021,blujay,4,1,0,1,1,1,1,1.001,0.0,PFW Web 4.1.4
1767,L12727596,42.6060363,-92.5556649,US-IA,/GOOGLE_MAP/ZOOM:17,S82434012,OBS1084443779,2,27,2021,PFW_2021,blujay,4,1,0,1,0,1,0,0.001,0.001,PFW Mobile App v1.1.17
1785,L234176,42.5957791,-88.3056197,US-WI,PointMaker1.0_2,S82205844,OBS1081049759,2,21,2021,PFW_2021,blujay,4,1,0,1,1,1,1,4.001,15.001,PFW Web 4.1.4
1798,L8211043,40.6389287,-80.0006951,US-PA,/GOOGLE_MAP/ZOOM:18,S87156117,OBS1142691981,4,29,2021,PFW_2021,blujay,1,1,0,1,1,1,1,8.001,0.0,PFW Web 4.1.4
1832,L12709861,41.8781125,-70.5841069,US-MA,/GOOGLE_MAP/ZOOM:15,S80359034,OBS1065114887,1,31,2021,PFW_2021,blujay,4,1,0,1,1,1,1,1.001,5.0,PFW Web 4.1.4
1836,L3148374,40.156931,-75.381037,US-PA,/GOOGLE_MAP/ZOOM:15,S77925108,OBS1035117832,12,21,2020,PFW_2021,blujay,4,1,0,1,0,0,1,1.001,5.0,PFW Web 4.1.4
1853,L2410162,40.315874,-75.857756,US-PA,/GOOGLE_MAP/ZOOM:15,S81776775,OBS1076370282,2,15,2021,PFW_2021,blujay,1,1,0,1,0,1,1,1.001,5.0,PFW Web 4.1.4
1921,L8692777,38.8366288,-77.4107344,US-VA,/GOOGLE_MAP/ZOOM:15,S78146656,OBS1038006081,12,26,2020,PFW_2021,blujay,3,1,0,1,1,1,1,1.001,0.0,PFW Web 4.1.4
1987,L3982782,39.9641761,-80.7411591,US-WV,/GOOGLE_MAP/ZOOM:15,S84398276,OBS1107183360,3,21,2021,PFW_2021,blujay,1,1,0,1,1,1,1,4.001,0.0,PFW Web 4.1.4
1990,L477846,45.189109,-93.256127,US-MN,ESRI_WEBSERVICE_STREET,S81876759,OBS1077438208,2,6,2021,PFW_2021,blujay,1,1,0,1,0,1,0,1.001,15.001,PFW Web 4.1.4
1992,L13182589,42.057759,-70.183807,US-MA,/GOOGLE_MAP/ZOOM:15,S85080616,OBS1115336743,4,8,2021,PFW_2021,blujay,1,1,0,1,0,0,0,1.001,0.0,PFW Mobile App v1.1.17
2032,L2414323,39.4298496,-77.4090028,US-MD,/GOOGLE_MAP/ZOOM:18,S86476796,OBS1133540929,4,24,2021,PFW_2021,blujay,3,1,0,1,1,1,1,1.001,0.0,PFW Web 4.1.4
2062,L5559233,43.0380154,-89.4435462,US-WI,/GOOGLE_MAP/ZOOM:15,S83899614,OBS1100905152,3,20,2021,PFW_2021,blujay,2,1,0,1,1,1,1,1.001,0.0,PFW Web 4.1.4
2076,L8164464,44.5523135,-71.5021133,US-NH,/GOOGLE_MAP/ZOOM:14,S76702196,OBS1017980897,11,22,2020,PFW_2021,blujay,13,1,0,1,1,1,1,1.001,0.0,PFW Web 4.1.4
2116,L802647,43.3881775,-76.187793,US-NY,ESRI_WEBSERVICE_STREET,S77007789,OBS1022216157,11,21,2020,PFW_2021,blujay,4,1,0,1,1,1,0,4.001,0.0,PFW Web 4.1.4
2135,L8150565,37.4688572,-77.5473914,US-VA,/GOOGLE_MAP/ZOOM:18,S77400619,OBS1027675182,12,7,2020,PFW_2021,blujay,2,1,0,1,1,1,1,1.001,0.001,PFW Web 4.1.4
2152,L12979705,39.7662593,-74.281311,US-NJ,/GOOGLE_MAP/ZOOM:14,S84538497,OBS1108853971,3,29,2021,PFW_2021,blujay,2,1,0,1,1,1,1,1.001,0.0,PFW Web 4.1.4
2202,L12815281,42.2258933,-71.7206301,US-MA,/GOOGLE_MAP/ZOOM:15,S78917162,OBS1047563131,1,9,2021,PFW_2021,blujay,1,1,0,1,1,1,1,1.001,0.001,PFW Mobile App v1.1.17
2291,L3158727,42.4655124,-72.9136419,US-MA,/GOOGLE_MAP/ZOOM:18,S84495149,OBS1108276479,3,8,2021,PFW_2021,blujay,2,1,0,1,0,1,0,4.001,5.0,PFW Web 4.1.4
2295,L12616514,42.3346087,-72.9993217,US-MA,/GOOGLE_MAP/ZOOM:15,S84653194,OBS1110285934,4,3,2021,PFW_2021,blujay,6,1,0,1,1,1,1,1.001,0.0,PFW Mobile App v1.1.17
2407,L10985615,42.67569,-70.9883156,US-MA,/GOOGLE_MAP/ZOOM:15,S85151424,OBS1116250106,4,7,2021,PFW_2021,blujay,3,1,0,1,1,1,1,1.001,0.0,PFW Web 4.1.4
2421,L72954,42.3323364,-71.5681709,US-MA,POSTCODE LAT/LONG LOOKUP,S77335674,OBS1026842336,12,9,2020,PFW_2021,blujay,2,1,0,1,1,1,1,1.001,5.0,PFW Web 4.1.4
2469,L360770,46.2510989,-66.721344,CA-NB,GREATDATA_POSTCODE/GOOGLE_MAP/ZOOM:4,S85747632,OBS1123978834,2,13,2021,PFW_2021,blujay,2,1,0,1,1,1,1,4.001,15.001,PFW Web 4.1.4
2483,L12797341,44.5025048,-65.7787943,CA-NS,/GOOGLE_MAP/ZOOM:15,S77235775,OBS1025353890,12,2,2020,PFW_2021,blujay,1,1,0,1,0,1,0,0.001,0.0,PFW Web 4.1.4
2500,L6660011,41.3189928,-81.5390194,US-OH,,S76411527,OBS1026302274,11,16,2020,PFW_2021,blujay,2,1,0,1,0,1,0,1.001,0.001,PFW Mobile App v1.1.16
2520,L138900,42.3465556,-71.2106752,US-MA,POSTCODE LAT/LONG LOOKUP,S79921860,OBS1059835628,1,24,2021,PFW_2021,blujay,2,1,0,1,1,1,1,1.001,0.0,PFW Web 4.1.4
2526,L12802184,45.4322163,-76.36145,CA-ON,/GOOGLE_MAP/ZOOM:15,S79180069,OBS1051319576,1,13,2021,PFW_2021,blujay,1,1,0,1,1,1,1,1.001,5.0,PFW Web 4.1.4
2530,L8135629,44.8398509,-91.5669465,US-WI,/GOOGLE_MAP/ZOOM:15,S78158237,OBS1038142854,12,26,2020,PFW_2021,blujay,3,1,0,1,1,1,1,1.001,0.001,PFW Web 4.1.4
2532,L361966,39.607659,-76.856909,US-MD,ESRI_WEBSERVICE_STREET,S78176242,OBS1038333056,12,26,2020,PFW_2021,blujay,3,1,0,1,1,1,1,0.001,0.0,PFW Web 4.1.4
2533,L283399,41.7176421,-71.4615154,US-RI,ESRI_WEBSERVICE_STREET,S82237371,OBS1081365126,2,22,2021,PFW_2021,blujay,9,1,0,1,1,1,1,1.001,5.0,PFW Mobile App v1.1.17
2542,L10138876,36.161733,-79.131061,US-NC,/GOOGLE_MAP/ZOOM:15,S82018373,OBS1078899964,2,13,2021,PFW_2021,blujay,8,1,0,1,1,1,1,1.001,0.0,PFW Web 4.1.4
2546,L1313738,46.0735283,-79.39991,CA-ON,ESRI_WEBSERVICE_STREET/GOOGLE_MAP/ZOOM:1,S82749261,OBS1087388388,2,22,2021,PFW_2021,blujay,12,1,0,1,1,1,1,1.001,15.001,PFW Web 4.1.4
2558,L8394743,44.7645115,-85.6755495,US-MI,/GOOGLE_MAP/ZOOM:18,S80273913,OBS1064037008,12,19,2020,PFW_2021,blujay,2,1,0,1,1,1,1,1.001,15.001,PFW Web 4.1.4
2601,L12727440,39.7443294,-89.7286056,US-IL,/GOOGLE_MAP/ZOOM:12,S76597126,OBS1016468978,11,18,2020,PFW_2021,blujay,1,1,0,1,1,1,1,1.001,0.0,PFW Web 4.1.4
2661,L808066,40.3002396,-75.2659607,US-PA,ESRI_WEBSERVICE_STREET,S84892580,OBS1113127637,12,12,2020,PFW_2021,blujay,1,1,0,1,1,1,1,4.001,0.0,PFW Web 4.1.4
2740,L33161,39.4768955,-80.2719122,US-WV,POSTCODE LAT/LONG LOOKUP,S78510983,OBS1042412561,12,19,2020,PFW_2021,blujay,2,1,0,1,1,1,1,4.001,0.0,PFW Web 4.1.4
2741,L356082,45.2527759,-72.9878426,CA-QC,GREATDATA_POSTCODE/GOOGLE_MAP/ZOOM:4,S83423373,OBS1095118901,3,6,2021,PFW_2021,blujay,12,1,0,1,1,1,1,4.001,15.001,PFW Web 4.1.4
2750,L138594,40.6876674,-95.8639526,US-NE,POSTCODE LAT/LONG LOOKUP,S83919368,OBS1101124265,3,21,2021,PFW_2021,blujay,2,1,0,1,1,1,1,1.001,0.0,PFW Web 4.1.4
2752,L12744193,30.384676,-89.2803102,US-MS,/GOOGLE_MAP/ZOOM:15,S77698827,OBS1031835826,12,19,2020,PFW_2021,blujay,1,1,0,1,0,1,1,4.001,0.0,PFW Mobile App v1.1.17
2784,L3168638,38.9261229,-77.330433,US-VA,/GOOGLE_MAP/ZOOM:15,S76328557,OBS1012833176,11,14,2020,PFW_2021,blujay,2,1,0,1,1,1,1,1.001,0.0,PFW Web 4.0.4
2794,L1030032,39.5812912,-77.1256638,US-MD,ESRI_WEBSERVICE_STREET,S81211467,OBS1072568563,2,6,2021,PFW_2021,blujay,1,1,0,1,1,1,1,4.001,5.0,PFW Web 4.1.4
2805,L10154417,39.2161495,-74.6983833,US-NJ,/GOOGLE_MAP/ZOOM:18,S82601402,OBS1085620746,2,26,2021,PFW_2021,blujay,1,1,0,1,0,1,1,1.001,0.0,PFW Web 4.1.4
2823,L12726237,45.103526,-93.5054562,US-MN,/GOOGLE_MAP/ZOOM:15,S85181877,OBS1116616473,4,6,2021,PFW_2021,blujay,1,1,0,1,1,1,1,1.001,0.0,PFW Web 4.1.4
2832,L7042849,39.1828993,-96.5845533,US-KS,/GOOGLE_MAP/ZOOM:12,S76921207,OBS1020927175,11,28,2020,PFW_2021,blujay,3,1,0,1,1,1,1,1.001,,PFW Web 4.1.4
2860,L12779065,35.5811573,-80.0990164,US-NC,/GOOGLE_MAP/ZOOM:15,S76543157,OBS1015739452,11,20,2020,PFW_2021,blujay,1,1,0,1,1,1,1,1.001,0.0,PFW Web 4.1.4
2861,L161627,43.8793198,-79.7264099,CA-ON,POSTCODE LAT/LONG LOOKUP,S76490255,OBS1015018423,11,21,2020,PFW_2021,blujay,1,1,0,1,1,1,1,1.001,15.001,PFW Web 4.1.4
2880,L77878,30.12731,-94.16964,US-TX,delorme map,S78383945,OBS1041033183,12,27,2020,PFW_2021,blujay,3,1,0,1,1,1,1,4.001,0.0,PFW Web 4.1.4
2908,L10048829,34.104005,-81.4776939,US-SC,/GOOGLE_MAP/ZOOM:18,S80688486,OBS1068955838,2,6,2021,PFW_2021,blujay,2,1,0,1,1,0,0,1.001,0.0,PFW Web 4.1.4
2946,L10916789,32.6652739,-97.3733972,US-TX,/GOOGLE_MAP/ZOOM:15,S85521818,OBS1120977697,4,12,2021,PFW_2021,blujay,2,1,0,1,1,1,1,1.001,0.0,PFW Mobile App v1.1.17
2962,L8106258,42.3076655,-71.2176122,US-MA,/GOOGLE_MAP/ZOOM:15,S77604585,OBS1030552897,12,16,2020,PFW_2021,blujay,2,1,0,1,1,1,1,1.001,15.001,PFW Web 4.1.4
